,Quarter,Time,Tm,Detail,MIN,CHI
0,1.0,3:30,Vikings,Ryan Longwell 36 yard field goal,3,0
1,2.0,6:57,Bears,Greg Olsen 17 yard pass from Jay Cutler (Robbie Gould kick),3,7
2,2.0,3:17,Vikings,Percy Harvin 53 yard pass from Brett Favre (Ryan Longwell kick),10,7
3,2.0,0:44,Bears,Devin Hester 19 yard pass from Jay Cutler (Robbie Gould kick),10,14
4,3.0,13:12,Bears,Robbie Gould 34 yard field goal,10,17
5,3.0,8:14,Vikings,Ryan Longwell 33 yard field goal,13,17
6,3.0,5:26,Bears,Robbie Gould 37 yard field goal,13,20
7,4.0,8:37,Bears,Kellen Davis 19 yard pass from Jay Cutler (Robbie Gould kick),13,27
