,Quarter,Time,Tm,Detail,MIN,TEN
0,1.0,,Vikings,"Safety, McNair penalized for intentional grounding in end zone",2,0
1,1.0,,Oilers,Al Del Greco 36 yard field goal,2,3
2,2.0,,Vikings,Gary Anderson 39 yard field goal,5,3
3,2.0,,Oilers,Al Del Greco 33 yard field goal,5,6
4,2.0,,Oilers,Eddie George 2 yard rush (Al Del Greco kick),5,13
5,2.0,0:18,Vikings,Gary Anderson 23 yard field goal,8,13
6,3.0,0:18,Vikings,Randy Moss 5 yard pass from Randall Cunningham (Randy Moss pass from Randall Cunningham),16,13
7,3.0,0:18,Oilers,Al Del Greco 45 yard field goal,16,16
8,3.0,0:18,Vikings,Cris Carter 38 yard pass from Randall Cunningham (Gary Anderson kick),23,16
9,4.0,1:03,Vikings,Gary Anderson 30 yard field goal,26,16
