,Quarter,Tm,Detail,SEA,KAN
0,2.0,Chiefs,Walt Arnold 2 yard pass from Bill Kenney (Nick Lowery kick),0,7
1,2.0,Chiefs,Nick Lowery 35 yard field goal,0,10
2,2.0,Chiefs,Stephone Paige 8 yard pass from Bill Kenney (Nick Lowery kick),0,17
3,3.0,Chiefs,Carlos Carson 25 yard pass from Bill Kenney (Nick Lowery kick),0,24
4,4.0,Chiefs,Nick Lowery 37 yard field goal,0,27
5,4.0,Seahawks,Steve Largent 38 yard pass from Gale Gilbert (Norm Johnson kick),7,27
