,Quarter,Tm,Detail,WAS,CLE
0,1.0,Browns,Ernie Green 5 yard pass from Frank Ryan (Lou Groza kick),0,7
1,3.0,Browns,Leroy Kelly 56 yard rush (Lou Groza kick),0,14
2,3.0,Redskins,Charlie Gogolak 20 yard field goal,3,14
