,Quarter,Time,Tm,Detail,DAL,CAR
0,1.0,10:05,Panthers,John Kasay 24 yard field goal,0,3
1,1.0,9:49,Panthers,Drew Carter 32 yard pass from Jake Delhomme (John Kasay kick),0,10
2,1.0,7:00,Cowboys,Julius Jones 8 yard rush (Billy Cundiff kick),7,10
3,2.0,11:00,Cowboys,Billy Cundiff 24 yard field goal,10,10
4,2.0,6:50,Panthers,John Kasay 47 yard field goal,10,13
5,3.0,4:50,Cowboys,Julius Jones 43 yard rush (Billy Cundiff kick),17,13
6,4.0,2:32,Panthers,Ricky Proehl 35 yard pass from Jake Delhomme (John Kasay kick),17,20
7,4.0,0:24,Cowboys,Terry Glenn 2 yard pass from Drew Bledsoe (Billy Cundiff kick),24,20
