,Quarter,Time,Tm,Detail,STL,ARI
0,1.0,5:24,Cardinals,Josh McCown 1 yard rush (Neil Rackers kick),0,7
1,1.0,1:44,Cardinals,Neil Rackers 48 yard field goal,0,10
2,2.0,12:24,Cardinals,Larry Fitzgerald 8 yard pass from Josh McCown (Neil Rackers kick),0,17
3,2.0,0:07,Rams,Leonard Little 61 yard defensive fumble return (Jeff Wilkins kick),7,17
4,3.0,7:02,Cardinals,Larry Fitzgerald 4 yard pass from Josh McCown (Neil Rackers kick),7,24
5,4.0,10:54,Cardinals,Josh McCown 9 yard rush (Neil Rackers kick),7,31
