,Quarter,Tm,Detail,DAL,WAS
0,1.0,Redskins,Mark Moseley 52 yard field goal,0,3
1,2.0,Redskins,Mark Moseley 42 yard field goal,0,6
2,3.0,Cowboys,Rafael Septien 19 yard field goal,3,6
3,3.0,Redskins,Mark Moseley 27 yard field goal,3,9
4,4.0,Cowboys,"Safety, White tackled Theismann in end zone",5,9
