,Quarter,Tm,Detail,CIN,NOR
0,3.0,Saints,George Rogers 19 yard rush (Benny Ricardo kick),0,7
1,4.0,Saints,Benny Ricardo 38 yard field goal,0,10
2,4.0,Saints,Wayne Wilson 19 yard pass from Archie Manning (Benny Ricardo kick),0,17
3,4.0,Bengals,Dan Ross 6 yard pass from Jack Thompson (Jim Breech kick),7,17
