,Quarter,Tm,Detail,CRD,CHI
0,1.0,Bears,Ken Kavanaugh 15 yard pass from Johnny Lujack (Johnny Lujack kick),0,7
1,1.0,Cardinals,Pat Harder 34 yard field goal,3,7
2,2.0,Bears,George Gulyanics 35 yard pass from Johnny Lujack (Johnny Lujack kick),3,14
3,3.0,Cardinals,Pat Harder 3 yard rush (Pat Harder kick),10,14
4,4.0,Bears,George Gulyanics 1 yard rush (Johnny Lujack kick),10,21
5,4.0,Cardinals,Charley Trippi 5 yard rush (Pat Harder kick),17,21
6,4.0,Cardinals,Elmer Angsman 7 yard rush (Pat Harder kick),24,21
