,Quarter,Time,Tm,Detail,STL,ARI
0,1.0,11:14,Cardinals,Jay Feely 45 yard field goal,0,3
1,1.0,5:26,Cardinals,Jay Feely 41 yard field goal,0,6
2,1.0,0:24,Rams,Josh Brown 28 yard field goal,3,6
3,2.0,10:23,Rams,Josh Brown 52 yard field goal,6,6
4,2.0,0:04,Rams,Josh Brown 20 yard field goal,9,6
5,3.0,7:40,Rams,Steven Jackson 27 yard rush (Josh Brown kick),16,6
6,4.0,14:55,Rams,Josh Brown 43 yard field goal,19,6
