,Quarter,Time,Tm,Detail,CAR,GNB
0,1.0,7:54,Packers,Tramon Williams 94 yard punt return (Mason Crosby kick),0,7
1,1.0,5:03,Panthers,John Kasay 26 yard field goal,3,7
2,2.0,11:13,Packers,Greg Jennings 4 yard pass from Brett Favre (Mason Crosby kick),3,14
3,2.0,1:16,Packers,Donald Lee 26 yard pass from Brett Favre (Mason Crosby kick),3,21
4,3.0,12:46,Packers,Donald Lee 12 yard pass from Brett Favre (Mason Crosby kick),3,28
5,3.0,3:21,Panthers,Christian Fauria 2 yard pass from Vinny Testaverde (John Kasay kick),10,28
6,4.0,4:22,Panthers,Drew Carter 5 yard pass from Vinny Testaverde (John Kasay kick),17,28
7,4.0,2:41,Packers,Mason Crosby 47 yard field goal,17,31
