,Quarter,Time,Tm,Detail,NYG,CHI
0,2.0,7:43,Giants,Kaden Smith 3 yard pass from Daniel Jones (Aldrick Rosas kick),7,0
1,2.0,0:11,Bears,Eddy Pineiro 26 yard field goal,7,3
2,3.0,12:19,Bears,Allen Robinson 32 yard pass from Mitchell Trubisky (Eddy Pineiro kick),7,10
3,3.0,7:12,Bears,Eddy Pineiro 24 yard field goal,7,13
4,3.0,5:23,Bears,Mitchell Trubisky 2 yard rush (Eddy Pineiro kick failed),7,19
5,4.0,4:17,Giants,Golden Tate 23 yard pass from Daniel Jones (Aldrick Rosas kick),14,19
