,Quarter,Tm,Detail,PHO,PHI
0,1.0,Eagles,Heath Sherman 1 yard rush (Roger Ruzek kick),0,7
1,2.0,Eagles,Randall Cunningham 9 yard rush (Roger Ruzek kick),0,14
2,2.0,Cardinals,Greg Davis 24 yard field goal,3,14
3,3.0,Eagles,"Safety, Camarillo ran out of end zone",3,16
4,3.0,Cardinals,Larry Centers 27 yard pass from Chris Chandler (Greg Davis kick),10,16
5,4.0,Eagles,Vaughn Hebron 5 yard rush (Roger Ruzek kick),10,23
6,4.0,Cardinals,Lorenzo Lynch 55 yard defensive fumble return (Greg Davis kick),17,23
