,Quarter,Time,Tm,Detail,SFO,PHI
0,1.0,12:47,Eagles,DeSean Jackson 19 yard pass from Donovan McNabb (David Akers kick),0,7
1,1.0,9:29,49ers,Joe Nedney 51 yard field goal,3,7
2,2.0,9:49,Eagles,Donovan McNabb 8 yard rush (David Akers kick),3,14
3,2.0,4:25,Eagles,David Akers 22 yard field goal,3,17
4,2.0,0:02,Eagles,David Akers 26 yard field goal,3,20
5,3.0,10:02,49ers,Joe Nedney 25 yard field goal,6,20
6,3.0,6:12,49ers,Josh Morgan 12 yard pass from Alex Smith (Joe Nedney kick),13,20
7,4.0,11:32,Eagles,LeSean McCoy 2 yard rush (David Akers kick),13,27
