,Quarter,Tm,Detail,MIN,TAM
0,2.0,Vikings,"Safety, Eller tackled Hedberg in end zone",2,0
1,2.0,Buccaneers,Allan Leavitt 18 yard field goal,2,3
2,3.0,Vikings,Chuck Foreman 31 yard pass from Fran Tarkenton (Fred Cox kick),9,3
