,Quarter,Tm,Detail,CHI,NOR
0,1.0,Bears,Bob Avellini 1 yard rush (Bob Thomas kick),7,0
1,2.0,Saints,Rod McNeill 6 yard rush (Rich Szaro kick),7,7
2,2.0,Bears,Greg Latta 13 yard pass from Bob Avellini (Bob Thomas kick),14,7
3,2.0,Saints,Rich Szaro 19 yard field goal,14,10
4,2.0,Bears,Greg Latta 5 yard pass from Bob Avellini (Bob Thomas kick),21,10
5,3.0,Bears,Virgil Livers 40 yard interception return (Bob Thomas kick),28,10
6,4.0,Bears,Greg Latta 20 yard pass from Bob Avellini (Bob Thomas kick),35,10
7,4.0,Bears,Walter Payton 54 yard rush (Bob Thomas kick),42,10
8,4.0,Saints,Andrew Jones 1 yard rush (Rich Szaro kick),42,17
