,Quarter,Tm,Detail,DAL,STL
0,1.0,Cardinals,Jim Gallery 23 yard field goal,0,3
1,2.0,Cowboys,Roger Ruzek 22 yard field goal,3,3
2,2.0,Cowboys,Roger Ruzek 29 yard field goal,6,3
3,4.0,Cowboys,Gordon Banks 20 yard pass from Danny White (Roger Ruzek kick),13,3
4,4.0,Cardinals,Roy Green 16 yard pass from Neil Lomax (Jim Gallery kick),13,10
5,4.0,Cardinals,Roy Green 22 yard pass from Neil Lomax (Jim Gallery kick),13,17
6,4.0,Cardinals,Earl Ferrell 15 yard rush (Jim Gallery kick),13,24
