,Quarter,Tm,Detail,DAL,DET
0,2.0,Lions,Nick Pietrosante 43 yard rush (Jim Martin kick),0,7
1,2.0,Lions,"Safety, snap from center went out of end zone",0,9
2,2.0,Lions,Nick Pietrosante 40 yard rush (Jim Martin kick),0,16
3,2.0,Cowboys,L.G. Dupre 1 yard rush (Fred Cone kick),7,16
4,3.0,Lions,Gail Cogdill 7 yard pass from Earl Morrall (Jim Martin kick),7,23
5,4.0,Cowboys,Billy Howton 31 yard pass from Eddie LeBaron (Fred Cone kick),14,23
