,Quarter,Tm,Detail,RAM,PIT
0,2.0,Rams,Bruce Gossett 9 yard field goal,3,0
1,2.0,Rams,Bruce Gossett 39 yard field goal,6,0
2,2.0,Rams,Ben Wilson 1 yard rush (Bruce Gossett kick),13,0
3,2.0,Steelers,Gary Ballman 25 yard pass from Ed Brown (Mike Clark kick),13,7
4,3.0,Rams,Duane Allen 10 yard pass from Bill Munson,19,7
5,3.0,Rams,Lamar Lundy 14 yard interception return (Bruce Gossett kick),26,7
6,4.0,Steelers,Phil King 4 yard rush (Mike Clark kick),26,14
