,Quarter,Tm,Detail,CHI,SFO
0,1.0,Bears,Roger LeClerc 30 yard field goal,3,0
1,2.0,49ers,John David Crow 18 yard rush (Tommy Davis kick),3,7
2,2.0,49ers,Tommy Davis 15 yard field goal,3,10
3,2.0,49ers,Bernie Casey 59 yard pass from John Brodie (Tommy Davis kick),3,17
4,2.0,49ers,Ken Willard 20 yard pass from John Brodie (Tommy Davis kick),3,24
5,3.0,49ers,Bernie Casey 9 yard pass from John Brodie (Tommy Davis kick),3,31
6,3.0,49ers,Dave Parks 21 yard pass from John Brodie (Tommy Davis kick),3,38
7,3.0,49ers,Charlie Krueger 6 yard defensive fumble return (Tommy Davis kick),3,45
8,4.0,Bears,Andy Livingston 2 yard rush (Roger LeClerc kick),10,45
9,4.0,49ers,Gary Lewis 60 yard rush (Tommy Davis kick),10,52
10,4.0,Bears,Charlie Bivins 4 yard pass from Rudy Bukich (Roger LeClerc kick),17,52
11,4.0,Bears,Charlie Bivins 52 yard pass from Rudy Bukich (Roger LeClerc kick),24,52
