,Quarter,Tm,Detail,GNB,BAL
0,2.0,Packers,Lew Carpenter 55 yard rush (Paul Hornung kick),7,0
1,2.0,Colts,Raymond Berry 8 yard pass from Johnny Unitas (Steve Myhra kick),7,7
2,2.0,Colts,Alan Ameche 3 yard rush (Steve Myhra kick),7,14
3,3.0,Packers,Max McGee 81 yard pass from Lamar McHan (Paul Hornung kick),14,14
4,3.0,Colts,Alan Ameche 3 yard pass from Johnny Unitas (Steve Myhra kick),14,21
5,3.0,Colts,Bill Pellington 30 yard interception return (Steve Myhra kick),14,28
6,3.0,Colts,Raymond Berry 2 yard pass from Johnny Unitas (Steve Myhra kick),14,35
7,4.0,Colts,Steve Myhra 43 yard field goal,14,38
8,4.0,Packers,Boyd Dowler 4 yard pass from Lamar McHan (Paul Hornung kick),21,38
