,Quarter,Tm,Detail,DAY,PRV
0,1.0,Steam Roller,Pop Williams unknown yard rush (Lou Jennings kick),0,7
1,1.0,Steam Roller,Gibby Welch 32 yard pass from Wildcat Wilson,0,13
2,2.0,Steam Roller,Gibby Welch 15 yard rush (Lou Jennings kick),0,20
3,2.0,Steam Roller,Gibby Welch 64 yard pass from Hust Stockton (Lou Jennings kick),0,27
4,2.0,Steam Roller,Gibby Welch 8 yard pass from Jack McBride (Lou Jennings kick),0,34
5,4.0,Steam Roller,Wildcat Wilson unknown yard rush (Duke Hanny kick),0,41
