,Quarter,Tm,Detail,DEN,WAS
0,1.0,Redskins,Jamie Morris 8 yard rush (Chip Lohmiller kick),0,7
1,1.0,Broncos,Mel Bratton 1 yard pass from Gary Kubiak (David Treadwell kick),7,7
2,2.0,Broncos,Ricky Nattiel 5 yard pass from Gary Kubiak (David Treadwell kick),14,7
3,3.0,Redskins,Chip Lohmiller 32 yard field goal,14,10
