,Quarter,Time,Tm,Detail,NYJ,MIA
0,1,3:13,Jets,Aaron Glenn 60 yard interception return (John Hall kick),7,0
1,2,1:44,Jets,Laveranues Coles 17 yard pass from Vinny Testaverde (John Hall kick),14,0
2,3,8:15,Jets,Victor Green 63 yard interception return (John Hall kick),21,0
3,4,5:12,Jets,John Hall 43 yard field goal,24,0
