,Quarter,Time,Tm,Detail,STL,ATL
0,1.0,5:28,Falcons,Justin Griffith 3 yard pass from Michael Vick (Jay Feely kick),0,7
1,2.0,9:42,Falcons,Warrick Dunn 2 yard rush (Jay Feely kick),0,14
2,2.0,1:12,Rams,Marshall Faulk 1 yard rush (Jeff Wilkins kick),7,14
3,2.0,0:02,Falcons,Jay Feely 35 yard field goal,7,17
4,3.0,8:58,Rams,Torry Holt 33 yard pass from Marc Bulger (Jeff Wilkins kick),14,17
5,3.0,2:41,Rams,Jeff Wilkins 46 yard field goal,17,17
6,4.0,12:36,Falcons,Warrick Dunn 2 yard rush (Jay Feely kick),17,24
7,4.0,11:48,Falcons,Brady Smith defensive fumble recovery in end zone (Jay Feely kick),17,31
8,4.0,4:41,Falcons,Jay Feely 25 yard field goal,17,34
