,Quarter,Tm,Detail,NOR,RAM
0,1.0,Saints,Morten Andersen 27 yard field goal,3,0
1,2.0,Saints,Wayne Wilson 1 yard rush (Morten Andersen kick),10,0
2,2.0,Rams,Eric Dickerson 3 yard rush (Chuck Nelson kick),10,7
3,3.0,Saints,Hokie Gajan 4 yard rush (Morten Andersen kick),17,7
4,3.0,Rams,David Hill 11 yard pass from Vince Ferragamo (Chuck Nelson kick),17,14
5,3.0,Saints,Morten Andersen 30 yard field goal,20,14
6,4.0,Rams,Eric Dickerson 1 yard rush (Chuck Nelson kick),20,21
7,4.0,Saints,Eugene Goodlow 15 yard pass from Ken Stabler (Morten Andersen kick),27,21
8,4.0,Rams,"Safety, Erxleben ran out of end zone",27,23
9,4.0,Rams,Eric Dickerson 3 yard rush (Chuck Nelson kick),27,30
