,Quarter,Tm,Detail,RAM,CRD
0,1.0,Rams,Paige Cothren 14 yard field goal,3,0
1,2.0,Rams,Paige Cothren 12 yard field goal,6,0
2,2.0,Cardinals,John David Crow 30 yard pass from Lamar McHan (Bobby Joe Conrad kick),6,7
3,3.0,Cardinals,Ollie Matson 5 yard pass from Lamar McHan (Bobby Joe Conrad kick),6,14
4,3.0,Rams,Leon Clarke 17 yard pass from Billy Wade (Paige Cothren kick),13,14
5,4.0,Rams,Leon Clarke 7 yard pass from Billy Wade (Paige Cothren kick),20,14
