,Quarter,Tm,Detail,OAK,MIA
0,1.0,Raiders,George Blanda 24 yard field goal,3,0
1,1.0,Dolphins,Karl Kremser 36 yard field goal,3,3
2,1.0,Dolphins,Karl Noonan 9 yard pass from Bob Griese (Karl Kremser kick),3,10
3,3.0,Raiders,Warren Wells 15 yard pass from Daryle Lamonica (George Blanda kick),10,10
4,3.0,Dolphins,Jim Kiick 3 yard rush (Karl Kremser kick),10,17
5,4.0,Raiders,George Blanda 37 yard field goal,13,17
6,4.0,Raiders,Fred Biletnikoff 7 yard pass from Daryle Lamonica (George Blanda kick),20,17
7,4.0,Dolphins,Karl Kremser 39 yard field goal,20,20
