,Quarter,Tm,Detail,DAL,MIN
0,1.0,Cowboys,Rafael Septien 42 yard field goal,3,0
1,2.0,Cowboys,Dennis Thurman 60 yard interception return (Rafael Septien kick),10,0
2,2.0,Vikings,Rick Danmeier 28 yard field goal,10,3
3,2.0,Vikings,Ted Brown 1 yard rush (Rick Danmeier kick),10,10
4,3.0,Vikings,Ted Brown 13 yard pass from Tommy Kramer (Rick Danmeier kick),10,17
5,3.0,Cowboys,Rafael Septien 22 yard field goal,13,17
6,4.0,Vikings,John Turner 33 yard interception return (Rick Danmeier kick),13,24
7,4.0,Cowboys,Tony Dorsett 99 yard rush (Rafael Septien kick),20,24
8,4.0,Cowboys,Ron Springs 2 yard rush (Rafael Septien kick),27,24
9,4.0,Vikings,Rickey Young 14 yard pass from Tommy Kramer (Rick Danmeier kick),27,31
