,Quarter,Tm,Detail,CHI,TAM
0,1.0,Bears,Mike Tomczak 1 yard rush (Kevin Butler kick),7,0
1,1.0,Bears,Willie Gault 37 yard pass from Mike Tomczak (Kevin Butler kick),14,0
2,1.0,Buccaneers,Donald Igwebuike 42 yard field goal,14,3
3,2.0,Bears,Kevin Butler 25 yard field goal,17,3
4,4.0,Bears,Kevin Butler 23 yard field goal,20,3
5,4.0,Bears,Kevin Butler 22 yard field goal,23,3
