,Quarter,Tm,Detail,MIA,NYJ
0,1.0,Jets,Wesley Walker 8 yard pass from Pat Ryan (Pat Leahy kick),0,7
1,1.0,Dolphins,Fred Banks 10 yard pass from Dan Marino (Fuad Reveiz kick),7,7
2,2.0,Jets,Mickey Shuler 14 yard pass from Pat Ryan (Pat Leahy kick),7,14
3,2.0,Jets,Pat Leahy 29 yard field goal,7,17
4,2.0,Dolphins,Fred Banks 37 yard pass from Dan Marino (Fuad Reveiz kick),14,17
5,2.0,Jets,Freeman McNeil 3 yard rush (Pat Leahy kick),14,24
6,3.0,Dolphins,Mark Clayton 31 yard pass from Dan Marino (Fuad Reveiz kick),21,24
7,3.0,Dolphins,Mark Clayton 25 yard pass from Dan Marino,27,24
8,3.0,Dolphins,Ferrell Edmunds 80 yard pass from Dan Marino (Fuad Reveiz kick),34,24
9,4.0,Jets,Mickey Shuler 7 yard pass from Ken O'Brien (Pat Leahy kick),34,31
10,4.0,Jets,Wesley Walker 18 yard pass from Ken O'Brien (Pat Leahy kick),34,38
