,Quarter,Time,Tm,Detail,OAK,NOR
0,1.0,4:34,Raiders,Sebastian Janikowski 49 yard field goal,3,0
1,2.0,11:38,Raiders,Andre Rison 34 yard pass from Rich Gannon (Sebastian Janikowski kick),10,0
2,2.0,6:15,Raiders,Zack Crockett 6 yard rush (Sebastian Janikowski kick),17,0
3,2.0,3:53,Saints,Willie Jackson 53 yard pass from Aaron Brooks (Doug Brien kick),17,7
4,3.0,8:54,Saints,Doug Brien 42 yard field goal,17,10
5,3.0,3:09,Saints,Doug Brien 40 yard field goal,17,13
6,4.0,12:05,Raiders,Tim Brown 21 yard pass from Rich Gannon (Sebastian Janikowski kick),24,13
7,4.0,7:41,Saints,Doug Brien 33 yard field goal,24,16
8,4.0,1:55,Raiders,Zack Crockett 6 yard rush (Sebastian Janikowski kick),31,16
9,4.0,1:09,Saints,Willie Jackson 9 yard pass from Aaron Brooks (pass failed),31,22
