,Quarter,Tm,Detail,GNB,ATL
0,1.0,Falcons,Alfred Jenkins 9 yard pass from Steve Bartkowski (Tim Mazzetti kick),0,7
1,1.0,Falcons,Tim Mazzetti 23 yard field goal,0,10
2,2.0,Falcons,"Safety, Lewis tackled Whitehurst in end zone",0,12
3,2.0,Falcons,Tim Mazzetti 48 yard field goal,0,15
4,2.0,Packers,Barty Smith 11 yard pass from David Whitehurst (Chester Marcol kick),7,15
5,3.0,Falcons,Tim Mazzetti 42 yard field goal,7,18
6,4.0,Falcons,James Mayberry 8 yard rush (Tim Mazzetti kick),7,25
