,Quarter,Time,Tm,Detail,IND,BUF
0,1.0,,Colts,Aaron Bailey 10 yard pass from Jim Harbaugh (Cary Blanchard kick),7,0
1,1.0,,Colts,Marshall Faulk 10 yard rush (Cary Blanchard kick),14,0
2,2.0,,Colts,Cary Blanchard 39 yard field goal,17,0
3,2.0,,Colts,Cary Blanchard 36 yard field goal,20,0
4,2.0,,Colts,Cary Blanchard 49 yard field goal,23,0
5,2.0,,Colts,Cary Blanchard 22 yard field goal,26,0
6,2.0,,Bills,Lonnie Johnson 16 yard pass from Todd Collins (Steve Christie kick),26,7
7,2.0,,Bills,Steve Christie 27 yard field goal,26,10
8,3.0,,Bills,Antowain Smith 15 yard rush (run failed),26,16
9,4.0,,Colts,Cary Blanchard 25 yard field goal,29,16
10,4.0,,Bills,Quinn Early 4 yard pass from Todd Collins (Steve Christie kick),29,23
11,4.0,,Bills,Antowain Smith 1 yard rush (Steve Christie kick),29,30
12,4.0,5:21,Bills,Antowain Smith 54 yard rush (Steve Christie kick),29,37
13,4.0,5:21,Colts,Marvin Harrison 2 yard pass from Paul Justin (pass failed),35,37
