,Quarter,Time,Tm,Detail,TEN,MIA
0,2,,Dolphins,Olindo Mare 23 yard field goal,0,3
1,2,,Oilers,Eddie George 13 yard rush (Al Del Greco kick),7,3
2,2,,Oilers,Al Del Greco 24 yard field goal,10,3
3,3,,Dolphins,Olindo Mare 22 yard field goal,10,6
4,3,,Oilers,Al Del Greco 37 yard field goal,13,6
5,4,,Dolphins,Irving Spikes 2 yard rush (Olindo Mare kick),13,13
6,OT,,Dolphins,Olindo Mare 29 yard field goal,13,16
