,Quarter,Time,Tm,Detail,MIN,STL
0,1.0,,Vikings,Robert Smith 24 yard rush (Gary Anderson kick),7,0
1,1.0,,Vikings,Andrew Glover 3 yard pass from Brad Johnson (Gary Anderson kick),14,0
2,2.0,,Rams,Greg Hill 1 yard rush (Jeff Wilkins kick),14,7
3,2.0,,Vikings,Gary Anderson 24 yard field goal,17,7
4,2.0,,Rams,Jeff Wilkins 53 yard field goal,17,10
5,2.0,2:00,Vikings,Robert Smith 74 yard rush (Gary Anderson kick),24,10
6,3.0,2:00,Rams,Greg Hill 4 yard rush (Jeff Wilkins kick),24,17
7,3.0,2:00,Rams,Eddie Kennison 71 yard punt return (Jeff Wilkins kick),24,24
8,3.0,2:00,Vikings,Leroy Hoard 1 yard rush (Gary Anderson kick),31,24
9,4.0,2:00,Rams,Isaac Bruce 80 yard pass from Tony Banks (Jeff Wilkins kick),31,31
10,4.0,2:00,Vikings,Cris Carter 19 yard pass from Randall Cunningham (Gary Anderson kick),38,31
