,Quarter,Tm,Detail,CLE,WAS
0,1.0,Redskins,Art Monk 14 yard pass from Mark Rypien (Chip Lohmiller kick),0,7
1,1.0,Browns,Webster Slaughter 11 yard pass from Brian Hansen (Matt Stover kick),7,7
2,2.0,Redskins,Gerald Riggs 1 yard rush (Chip Lohmiller kick),7,14
3,2.0,Redskins,Earnest Byner 21 yard rush (Chip Lohmiller kick),7,21
4,3.0,Browns,Matt Stover 26 yard field goal,10,21
5,3.0,Browns,Vince Newsome 37 yard defensive fumble return (Matt Stover kick),17,21
6,3.0,Redskins,Ricky Ervins 12 yard rush (Chip Lohmiller kick),17,28
7,4.0,Redskins,Gerald Riggs 1 yard rush (Chip Lohmiller kick),17,35
8,4.0,Redskins,Ricky Ervins 65 yard rush (Chip Lohmiller kick),17,42
