,Quarter,Tm,Detail,OAK,SDG
0,1.0,Chargers,James Brooks 28 yard rush (Rolf Benirschke kick),0,7
1,2.0,Raiders,Chris Bahr 34 yard field goal,3,7
2,2.0,Chargers,Rolf Benirschke 24 yard field goal,3,10
3,2.0,Chargers,Charlie Joiner 29 yard pass from Dan Fouts (Rolf Benirschke kick),3,17
4,3.0,Raiders,Mark van Eeghen 1 yard rush (Chris Bahr kick),10,17
5,3.0,Chargers,Rolf Benirschke 27 yard field goal,10,20
6,4.0,Chargers,Rolf Benirschke 39 yard field goal,10,23
