,Quarter,Tm,Detail,SEA,MIA
0,2.0,Dolphins,Dan Johnson 19 yard pass from Dan Marino,0,6
1,2.0,Seahawks,Cullen Bryant 6 yard pass from Dave Krieg (Norm Johnson kick),7,6
2,2.0,Dolphins,Mark Duper 32 yard pass from Dan Marino (Uwe von Schamann kick),7,13
3,3.0,Seahawks,Curt Warner 1 yard rush (Norm Johnson kick),14,13
4,4.0,Seahawks,Norm Johnson 27 yard field goal,17,13
5,4.0,Dolphins,Woody Bennett 3 yard rush (Uwe von Schamann kick),17,20
6,4.0,Seahawks,Curt Warner 2 yard rush (Norm Johnson kick),24,20
7,4.0,Seahawks,Norm Johnson 37 yard field goal,27,20
