,Quarter,Time,Tm,Detail,DET,SFO
0,1.0,6:57,Lions,Robert Bailey 74 yard interception return (Jason Hanson kick),7,0
1,2.0,4:36,Lions,Jason Hanson 39 yard field goal,10,0
2,2.0,0:54,49ers,Eric Johnson 4 yard pass from Jeff Garcia (Jose Cortez kick),10,7
3,3.0,10:21,49ers,Terrell Owens 30 yard pass from Jeff Garcia (Jose Cortez kick),10,14
4,3.0,6:43,Lions,Jason Hanson 45 yard field goal,13,14
5,4.0,14:22,49ers,Terrell Owens 7 yard pass from Jeff Garcia (Jose Cortez kick),13,21
