,Quarter,Tm,Detail,RII,MIN
0,2.0,Marines,Ave Kaplan 45 yard field goal,0,3
1,2.0,Marines,Ave Kaplan 50 yard field goal,0,6
2,3.0,Independents,John Armstrong 13 yard rush,6,6
