,Quarter,Time,Tm,Detail,CAR,ATL
0,1.0,11:45,Panthers,Greg Olsen 17 yard pass from Cam Newton (Justin Medlock kick),7,0
1,1.0,0:26,Falcons,Roddy White 49 yard pass from Matt Ryan (Matt Bryant kick),7,7
2,2.0,13:11,Falcons,Matt Bryant 41 yard field goal,7,10
3,2.0,8:44,Panthers,DeAngelo Williams 13 yard rush (Justin Medlock kick),14,10
4,2.0,1:49,Falcons,Roddy White 14 yard pass from Matt Ryan (Matt Bryant kick),14,17
5,3.0,10:17,Falcons,Michael Turner 60 yard pass from Matt Ryan (Matt Bryant kick),14,24
6,3.0,3:16,Panthers,Cam Newton 4 yard rush (Justin Medlock kick),21,24
7,4.0,7:55,Panthers,Kealoha Pilares 36 yard pass from Cam Newton (Justin Medlock kick),28,24
8,4.0,4:57,Falcons,Matt Bryant 33 yard field goal,28,27
9,4.0,0:05,Falcons,Matt Bryant 40 yard field goal,28,30
