,Quarter,Tm,Detail,GNB,BUF
0,1.0,Packers,Tom Birney 25 yard field goal,3,0
1,1.0,Bills,Nick Mike-Mayer 37 yard field goal,3,3
2,2.0,Bills,Nick Mike-Mayer 34 yard field goal,3,6
3,2.0,Packers,James Lofton 34 yard pass from David Whitehurst,9,6
4,2.0,Packers,Tom Birney 32 yard field goal,12,6
5,3.0,Bills,Nick Mike-Mayer 31 yard field goal,12,9
6,3.0,Bills,Nick Mike-Mayer 32 yard field goal,12,12
7,4.0,Bills,Mike Collier 1 yard rush (Nick Mike-Mayer kick),12,19
