,Quarter,Time,Tm,Detail,ARI,TAM
0,1.0,11:17,Cardinals,Zane Gonzalez 37 yard field goal,3,0
1,1.0,3:46,Buccaneers,Ronald Jones II 7 yard rush (Matt Gay kick),3,7
2,2.0,14:19,Cardinals,Zane Gonzalez 54 yard field goal,6,7
3,2.0,8:57,Buccaneers,Matt Gay 30 yard field goal,6,10
4,2.0,1:10,Cardinals,Christian Kirk 33 yard pass from Kyler Murray (Zane Gonzalez kick),13,10
5,2.0,0:12,Buccaneers,O.J. Howard 10 yard pass from Jameis Winston (Matt Gay kick),13,17
6,3.0,8:42,Buccaneers,Matt Gay 45 yard field goal,13,20
7,3.0,8:20,Cardinals,Christian Kirk 69 yard pass from Kyler Murray (Zane Gonzalez kick),20,20
8,4.0,9:48,Buccaneers,Matt Gay 41 yard field goal,20,23
9,4.0,7:28,Cardinals,Christian Kirk 15 yard pass from Kyler Murray (Zane Gonzalez kick),27,23
10,4.0,1:47,Buccaneers,Peyton Barber 1 yard rush (Matt Gay kick),27,30
