,Quarter,Tm,Detail,MIN,TAM
0,1.0,Vikings,Allen Rice 2 yard rush (Jan Stenerud kick),7,0
1,2.0,Vikings,Jan Stenerud 31 yard field goal,10,0
2,2.0,Buccaneers,Donald Igwebuike 25 yard field goal,10,3
3,2.0,Vikings,Joey Browner 15 yard interception return (Jan Stenerud kick),17,3
4,3.0,Vikings,Alfred Anderson 1 yard rush (Jan Stenerud kick),24,3
5,3.0,Buccaneers,James Wilder 1 yard rush (Donald Igwebuike kick),24,10
6,4.0,Buccaneers,Jerry Bell 12 yard pass from Steve DeBerg,24,16
7,4.0,Vikings,Ted Brown 54 yard pass from Tommy Kramer (Jan Stenerud kick),31,16
