,Quarter,Time,Tm,Detail,SFO,SDG
0,1.0,,49ers,Brent Jones 10 yard pass from Steve Young (Doug Brien kick),7,0
1,2.0,,49ers,John Taylor 4 yard pass from Steve Young (Doug Brien kick),14,0
2,2.0,,49ers,Ricky Watters 4 yard rush (Doug Brien kick),21,0
3,2.0,,Chargers,John Carney 50 yard field goal,21,3
4,3.0,,Chargers,Natrone Means 12 yard rush (run failed),21,9
5,3.0,,49ers,Doug Brien 22 yard field goal,24,9
6,4.0,,49ers,William Floyd 1 yard rush (Doug Brien kick),31,9
7,4.0,,Chargers,Tony Martin 2 yard pass from Stan Humphries (run failed),31,15
8,4.0,,49ers,Deion Sanders 90 yard interception return (Doug Brien kick),38,15
