,Quarter,Time,Tm,Detail,DET,MIN
0,1.0,,Vikings,Robert Smith 1 yard rush (Fuad Reveiz kick),0,7
1,1.0,,Lions,Herman Moore 47 yard pass from Scott Mitchell (Jason Hanson kick),7,7
2,1.0,,Lions,Jason Hanson 33 yard field goal,10,7
3,2.0,,Vikings,Fuad Reveiz 32 yard field goal,10,10
4,3.0,,Vikings,Fuad Reveiz 27 yard field goal,10,13
5,4.0,,Vikings,Qadry Ismail 85 yard pass from Warren Moon (Fuad Reveiz kick),10,20
