,Quarter,Tm,Detail,DEN,SDG
0,1.0,Broncos,Rich Karlis 44 yard field goal,3,0
1,1.0,Chargers,Charlie Joiner 25 yard pass from Dan Fouts (Rolf Benirschke kick),3,7
2,2.0,Broncos,Rich Karlis 45 yard field goal,6,7
3,2.0,Chargers,Rolf Benirschke 49 yard field goal,6,10
4,4.0,Chargers,Rolf Benirschke 43 yard field goal,6,13
5,4.0,Broncos,Rich Karlis 37 yard field goal,9,13
6,4.0,Broncos,Sammy Winder 1 yard rush (Rich Karlis kick),16,13
