,Quarter,Tm,Detail,HOU,PIT
0,1.0,Oilers,Al Del Greco 29 yard field goal,3,0
1,2.0,Oilers,Al Del Greco 19 yard field goal,6,0
2,2.0,Steelers,Barry Foster 1 yard rush (Gary Anderson kick),6,7
3,3.0,Oilers,Webster Slaughter 11 yard pass from Cody Carlson (Al Del Greco kick),13,7
4,3.0,Oilers,Ray Childress 8 yard defensive fumble return (Al Del Greco kick),20,7
5,4.0,Steelers,Adrian Cooper 2 yard pass from Neil O'Donnell (Gary Anderson kick),20,14
6,4.0,Steelers,Eric Green 5 yard pass from Neil O'Donnell (Gary Anderson kick),20,21
