,Quarter,Time,Tm,Detail,ARI,DAL
0,1.0,,Cowboys,Daryl Johnston 2 yard pass from Troy Aikman (Chris Boniol kick),0,7
1,1.0,,Cowboys,Emmitt Smith 3 yard rush (Chris Boniol kick),0,14
2,1.0,,Cowboys,Emmitt Smith 1 yard rush (Chris Boniol kick),0,21
3,2.0,,Cowboys,Michael Irvin 12 yard pass from Troy Aikman (Chris Boniol kick),0,28
4,3.0,,Cowboys,Chris Boniol 19 yard field goal,0,31
5,3.0,,Cardinals,Greg Davis 42 yard field goal,3,31
6,3.0,6:50,Cowboys,Kevin Williams 87 yard kickoff return (Chris Boniol kick),3,38
