,Quarter,Tm,Detail,GNB,RAM
0,1.0,Rams,Billy Waddy 33 yard pass from Vince Ferragamo (Frank Corral kick),0,7
1,2.0,Rams,Frank Corral 29 yard field goal,0,10
2,2.0,Rams,Cullen Bryant 4 yard rush (Frank Corral kick),0,17
3,2.0,Packers,Eddie Lee Ivery 46 yard pass from Lynn Dickey (Chester Marcol kick),7,17
4,2.0,Rams,Johnnie Johnson 99 yard interception return (Frank Corral kick),7,24
5,2.0,Rams,Elvis Peacock 1 yard rush (Frank Corral kick),7,31
6,2.0,Rams,Willie Miller 29 yard pass from Vince Ferragamo (Frank Corral kick),7,38
7,2.0,Rams,Rod Perry 83 yard interception return,7,44
8,3.0,Rams,Preston Dennard 15 yard pass from Vince Ferragamo (Frank Corral kick),7,51
9,4.0,Packers,Harlan Huckleby 1 yard rush (Chester Marcol kick),14,51
10,4.0,Packers,Gerry Ellis 1 yard rush (Chester Marcol kick),21,51
