,Quarter,Time,Tm,Detail,BUF,SDG
0,1.0,9:16,Chargers,Wade Richey 37 yard field goal,0,3
1,1.0,1:59,Chargers,Freddie Jones 1 yard pass from Doug Flutie (Wade Richey kick),0,10
2,2.0,14:11,Chargers,Wade Richey 25 yard field goal,0,13
3,2.0,6:58,Bills,Rob Johnson 1 yard rush (Jake Arians kick),7,13
4,2.0,0:00,Bills,Jake Arians 41 yard field goal,10,13
5,4.0,10:34,Chargers,Jason Perry 37 yard interception return (Wade Richey kick),10,20
6,4.0,10:11,Bills,Peerless Price 61 yard pass from Rob Johnson (Jake Arians kick),17,20
7,4.0,1:30,Bills,Travis Henry 3 yard rush (Jake Arians kick),24,20
8,4.0,1:10,Chargers,Doug Flutie 13 yard rush (Wade Richey kick),24,27
