,Quarter,Time,Tm,Detail,IND,BUF
0,1.0,,Colts,Marshall Faulk 13 yard rush (Mike Cofer kick),7,0
1,1.0,,Bills,Carwell Gardner offensive fumble recovery in end zone (Steve Christie kick),7,7
2,2.0,,Colts,Marshall Faulk 18 yard pass from Jim Harbaugh (Mike Cofer kick),14,7
3,2.0,,Bills,Thurman Thomas 2 yard rush (Steve Christie kick),14,14
4,3.0,,Bills,Steve Christie 35 yard field goal,14,17
5,4.0,,Bills,Steve Christie 38 yard field goal,14,20
