,Quarter,Tm,Detail,ATL,NYJ
0,1.0,Jets,Pat Leahy 28 yard field goal,0,3
1,2.0,Jets,Johnny Hector 1 yard rush (Pat Leahy kick),0,10
2,2.0,Jets,Al Toon 12 yard pass from Ken O'Brien (Pat Leahy kick),0,17
3,3.0,Jets,Pat Leahy 46 yard field goal,0,20
4,3.0,Falcons,Gary Wilkins 16 yard pass from Chris Miller (Greg Davis kick),7,20
5,3.0,Jets,Johnny Hector 1 yard rush (Pat Leahy kick),7,27
