,Quarter,Tm,Detail,PIT,DET
0,1.0,Pirates,Armand Niccolai 27 yard field goal,3,0
1,2.0,Lions,Ace Gutowsky 3 yard rush (Dutch Clark kick),3,7
2,2.0,Lions,Frank Christensen 29 yard pass from Dutch Clark (Dutch Clark kick),3,14
3,2.0,Lions,Harry Ebding 25 yard pass from Dutch Clark (Dutch Clark kick),3,21
4,4.0,Lions,Ike Peterson 83 yard rush (Glenn Presnell kick),3,28
