,Quarter,Tm,Detail,PIT,WAS
0,1.0,Redskins,Eddie Saenz 1 yard rush (Dick Poillon kick),0,7
1,2.0,Redskins,Dick Todd 23 yard pass from Sammy Baugh (Dick Poillon kick),0,14
2,4.0,Steelers,Val Jansante 17 yard pass from Johnny Clement (Bill Dudley kick),7,14
3,4.0,Steelers,Bill Dudley 1 yard rush (Bill Dudley kick),14,14
