,Quarter,Tm,Detail,SIS,BOS
0,1.0,Braves,Cliff Battles 9 yard rush,0,6
1,2.0,Braves,Cliff Battles 20 yard rush (Honolulu Hughes kick),0,13
2,4.0,Stapletons,Bob Campiglio 6 yard rush,6,13
3,4.0,Braves,Oran Pape 90 yard kickoff return,6,19
