,Quarter,Tm,Detail,BAL,PIT
0,1.0,Colts,Steve Mike-Mayer 27 yard field goal,3,0
1,1.0,Steelers,John Stallworth 47 yard pass from Terry Bradshaw (Matt Bahr kick),3,7
2,1.0,Colts,Roger Carr 36 yard pass from Greg Landry (Steve Mike-Mayer kick),10,7
3,2.0,Steelers,Matt Bahr 25 yard field goal,10,10
4,3.0,Colts,Steve Mike-Mayer 24 yard field goal,13,10
5,4.0,Steelers,Bennie Cunningham 28 yard pass from Terry Bradshaw (Matt Bahr kick),13,17
