,Quarter,Tm,Detail,DET,CHI
0,1.0,Lions,Charlie Sanders 27 yard pass from Bill Munson (Errol Mann kick),7,0
1,2.0,Lions,Errol Mann 43 yard field goal,10,0
2,2.0,Lions,Errol Mann 31 yard field goal,13,0
3,3.0,Bears,Mac Percival 38 yard field goal,13,3
4,4.0,Lions,Bill Triplett 2 yard rush (Errol Mann kick),20,3
