,Quarter,Tm,Detail,DET,PIT
0,1.0,Lions,Tobin Rote 1 yard rush (Gerry Perry kick),7,0
1,3.0,Steelers,Bobby Layne 29 yard field goal,7,3
2,4.0,Lions,Jim Martin 17 yard field goal,10,3
3,4.0,Steelers,Tom Tracy 20 yard pass from Bobby Layne (Bobby Layne kick),10,10
