,Quarter,Time,Tm,Detail,SFO,ATL
0,2.0,,Falcons,Jamal Anderson 10 yard rush (Morten Andersen kick),0,7
1,2.0,0:23,49ers,Wade Richey 24 yard field goal,3,7
2,3.0,0:23,49ers,Wade Richey 28 yard field goal,6,7
3,3.0,0:23,Falcons,Morten Andersen 37 yard field goal,6,10
4,4.0,0:23,Falcons,Jamal Anderson 2 yard rush (Morten Andersen kick),6,17
5,4.0,0:23,Falcons,Jessie Tuggle 1 yard defensive fumble return (Morten Andersen kick),6,24
6,4.0,0:23,49ers,Terrell Owens 54 yard pass from Steve Young (run failed),12,24
7,4.0,0:23,49ers,Jerry Rice 65 yard pass from Steve Young (Wade Richey kick),19,24
8,4.0,0:23,Falcons,Terance Mathis 78 yard pass from Chris Chandler (Morten Andersen kick),19,31
