,Quarter,Tm,Detail,DAL,ATL
0,1.0,Cowboys,Roger Staubach 9 yard rush (Mac Percival kick),7,0
1,2.0,Cowboys,Mac Percival 33 yard field goal,10,0
2,2.0,Cowboys,Golden Richards 52 yard pass from Roger Staubach (Mac Percival kick),17,0
3,4.0,Cowboys,Robert Newhouse 1 yard rush (Mac Percival kick),24,0
