,Quarter,Tm,Detail,HOU,NOR
0,1.0,Oilers,Earl Campbell 2 yard rush (Toni Fritsch kick),7,0
1,2.0,Oilers,Toni Fritsch 22 yard field goal,10,0
2,3.0,Saints,Tinker Owens 6 yard pass from Archie Manning (Steve Mike-Mayer kick),10,7
3,4.0,Oilers,Robert Woods 80 yard pass from Dan Pastorini (Toni Fritsch kick),17,7
4,4.0,Saints,"Safety, Campbell ran out of end zone",17,9
5,4.0,Saints,Steve Mike-Mayer 21 yard field goal,17,12
