,Quarter,Time,Tm,Detail,DET,MIN
0,1.0,9:18,Vikings,Ryan Longwell 22 yard field goal,0,3
1,2.0,10:48,Vikings,Adrian Peterson 22 yard rush (Ryan Longwell kick),0,10
2,2.0,0:04,Lions,Jason Hanson 38 yard field goal,3,10
3,3.0,14:18,Vikings,Adrian Peterson 1 yard rush (Ryan Longwell kick),3,17
4,3.0,8:14,Lions,Will Heller 8 yard pass from Matthew Stafford (Jason Hanson kick),10,17
5,4.0,13:20,Vikings,Jeff Dugan 8 yard pass from Brett Favre (Ryan Longwell kick),10,24
6,4.0,7:33,Vikings,Ryan Longwell 35 yard field goal,10,27
